id;title;production;length;presentation;imdbLink
100;Két lány az uccán;1939;75;1939.10.04;https://www.imdb.com/title/tt0031544/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_k%25C3%25A9t%2520l%25C3%25A1ny%2520az%2520ucc%25C3%25A1n
101;Kétezerpengős férfi;1942;78;1942.06.25;
102;Kétszer kettő;1944;67;;https://www.imdb.com/title/tt0036996/?ref_=nv_sr_srsg_0_tt_6_nm_0_in_0_q_k%25C3%25A9tszer%2520kett%25C5%2591
103;Kísértés;1941;89;1942.01.14;https://www.imdb.com/title/tt0033793/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_k%25C3%25ADs%25C3%25A9rt%25C3%25A9s
104;Kölcsönadott élet;1943;89;1943.08.10;https://www.imdb.com/title/tt0036088/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_k%25C3%25B6lcs%25C3%25B6nadott%2520%25C3%25A9let
105;Kölcsönkért férjek;1941;85;1942.02.27;https://www.imdb.com/title/tt1909315/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_k%25C3%25B6lcs%25C3%25B6nk%25C3%25A9rt%2520f%25C3%25A9rjek
106;A kölcsönkért kastély;1937;84;1937.10.26;https://www.imdb.com/title/tt0029099/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_a%2520k%25C3%25B6lcs%25C3%25B6nk%25C3%25A9rt%2520kast%25C3%25A9ly
107;Köszönöm, hogy elgázolt;1935;83;1935.03.14;https://www.imdb.com/title/tt0026588/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_k%25C3%25B6sz%25C3%25B6n%25C3%25B6m%2520hogy%2520elg%25C3%25A1zolt
108;Külvárosi őrszoba;1942;85;1943.07.26;https://www.imdb.com/title/tt0034955/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_k%25C3%25BClv%25C3%25A1rosi%2520%25C5%2591r
109;Lángok;1940;81;1941.10.23;https://www.imdb.com/title/tt0032738/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_l%25C3%25A1ngok
110;A láp virága;1942;81;1943.03.05;https://www.imdb.com/title/tt0034964/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520l%25C3%25A1p%2520vir%25C3%25A1ga
111;A leányvári boszorkány;1938;79;1938.11.21;https://www.imdb.com/title/tt0130820/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_a%2520le%25C3%25A1nyv%25C3%25A1ri%2520boszork%25C3%25A1ny
112;Leányvásár;1941;86;1941.10.01;https://www.imdb.com/title/tt0033829/?ref_=nv_sr_srsg_1_tt_6_nm_0_in_0_q_le%25C3%25A1nyv%25C3%25A1s%25C3%25A1r
113;Lesz, ami lesz;1941;74;1941.07.03;https://www.imdb.com/title/tt0033826/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_lesz%2520ami
114;Lila akác;1934;72;1934.09.06;https://www.imdb.com/title/tt0025396/?ref_=nv_sr_srsg_1_tt_7_nm_1_in_0_q_lila%2520ak%25C3%25A1c
115;Ma, tegnap, holnap;1941;96;1941.03.17;https://www.imdb.com/title/tt1951184/?ref_=nv_sr_srsg_2_tt_3_nm_0_in_0_q_ma%2520tegnap%2520holnap
116;Maga lesz a férjem;1937;75;1938.02.15;https://www.imdb.com/title/tt0029186/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_maga%2520lesz%2520a%2520
117;Magdolna;1941;94;1942.03.18;https://www.imdb.com/title/tt0033863/?ref_=nv_sr_srsg_7_tt_4_nm_4_in_0_q_magdolna
119;Magyar sasok;1943;81;1944.05.25;https://www.imdb.com/title/tt1177923/?ref_=nv_sr_srsg_0_tt_3_nm_1_in_0_q_magyar%2520sasok
120;Mai lányok;1937;88;1937.11.19;https://www.imdb.com/title/tt0029189/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_mai%2520l%25C3%25A1ny
121;Makkhetes;1944;73;1944.08.18;https://www.imdb.com/title/tt0240707/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_makkhetes
122;Marika;1937;79;1938.02.11;
123;Mámi;1937;75;1937.09.02;https://www.imdb.com/title/tt0029197/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_m%25C3%25A1mi%25201937
124;Márciusi mese;1934;66;1934.05.04;https://www.imdb.com/title/tt0025547/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_m%25C3%25A1rciusi%2520mese
125;Mária két éjszakája;1940;87;1940.09.04;https://www.imdb.com/title/tt0240748/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_m%25C3%25A1ria%2520k%25C3%25A9t%2520%25C3%25A9jszak%25C3%25A1ja
126;Mária nővér;1936;88;1937.02.04;https://www.imdb.com/title/tt0027942/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_marika%25201937
128;Megvédtem egy asszonyt;1938;55;1938.07.28;https://www.imdb.com/title/tt0030432/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_megv%25C3%25A9dtem%2520egy%2520asszonyt
129;Meseautó;1934;90;1934.12.14;https://www.imdb.com/title/tt0027958/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_meseaut%25C3%25B3
130;Mindenki mást szeret;1940;93;1940.12.12;https://www.imdb.com/title/tt0241727/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_mindenki%2520m%25C3%25A1st%2520szeret
131;A miniszter barátja;1939;89;1939.09.28;https://www.imdb.com/title/tt0031655/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_a%2520miniszter%2520
132;A nagymama;1935;89;1936.01.09;https://www.imdb.com/title/tt0026766/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_a%2520nagymama
133;Nászút féláron;1936;65;1936.10.27;https://www.imdb.com/title/tt0028049/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_n%25C3%25A1sz%25C3%25BAt%2520f%25C3%25A9l%25C3%25A1ron
134;Negyedíziglen;1942;92;1942.11.02;https://www.imdb.com/title/tt0243450/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_negyed%25C3%25ADzig
135;Nem élhetek muzsikaszó nélkül;1935;77;1936.02.20;https://www.imdb.com/title/tt0241757/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_nem%2520%25C3%25A9lhetek%2520muzsikasz%25C3%25B3%2520n%25C3%25A9
136;Négylovas hintó;1942;79;1942.11.16;https://www.imdb.com/title/tt4658090/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_n%25C3%25A9gylovas%2520hint%25C3%25B3
138;A Noszty-fiú esete Tóth Marival;1937;76;1938.01.20;https://www.imdb.com/title/tt0054128/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_a%2520noszty-fi%25C3%25BA%2520
139;A nőnek mindig sikerül;1939;69;1940.01.18;https://www.imdb.com/title/tt0031739/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_a%2520n%25C5%2591nek%2520
140;Az okos mama;1935;74;1936.03.05;https://www.imdb.com/title/tt0026807/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520okos%2520mama
141;Ópiumkeringő;1942;79;1943.03.26;https://www.imdb.com/title/tt0036568/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25B3piumke
142;Az örök titok;1938;81;1938.02.24;https://www.imdb.com/title/tt0242176/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_az%2520%25C3%25B6r%25C3%25B6k%2520titok
143;5 óra 40;1939;77;1939.09.12;https://www.imdb.com/title/tt0032173/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_5%2520%25C3%25B3ra%252040
144;5-ös számú őrház;1942;92;1942.04.11;https://www.imdb.com/title/tt0169527/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_5-%25C3%25B6s%2520sz%25C3%25A1m%25C3%25BA%2520
145;Őrségváltás;1942;91;1942.08.18;https://www.imdb.com/title/tt0035598/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C5%2591rs%25C3%25A9gv%25C3%25A1lt%25C3%25A1s
146;Papucshős;1938;80;1938.09.01;https://www.imdb.com/title/tt0030552/?ref_=nv_sr_srsg_7_tt_8_nm_0_in_0_q_papucs
147;Párbaj semmiért;1939;82;1940.03.07;https://www.imdb.com/title/tt0906062/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_p%25C3%25A1rbaj%2520semmi%25C3%25A9rt
148;Pergőtűzben!;1937;74;1937.08.12;https://www.imdb.com/title/tt0029392/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_perg%25C5%2591t%25C5%25B1zben
149;Péntek Rézi;1938;67;1938.09.30;https://www.imdb.com/title/tt0030641/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_p%25C3%25A9ntek%2520r%25C3%25A9zi
150;Pénz beszél;1940;84;1940.03.14;https://www.imdb.com/title/tt0891574/?ref_=nv_sr_srsg_8_tt_7_nm_0_in_0_q_p%25C3%25A9nz%2520besz%25C3%25A9l
151;Pillanatnyi pénzzavar;1938;70;1938.03.03;https://www.imdb.com/title/tt0030587/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_pillantnyi%2520p%25C3%25A9nzzavar
152;Piri mindent tud;1932;78;1932.04.21;https://www.imdb.com/title/tt0023340/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_piri%2520mindent%2520tud
